RUN	SmokeTest.getCreditDetails	getcreditdetails	1570467023496	 	3.0.2
USER	SmokeTest	78	END	1570467085787	1570467088121
USER	SmokeTest	81	START	1570467088121	1570467088121
REQUEST	79		SmokeTest	1570467086292	1570467088387	OK	 
USER	SmokeTest	79	END	1570467086290	1570467088388
USER	SmokeTest	82	START	1570467088389	1570467088389
REQUEST	80		SmokeTest	1570467087085	1570467088997	OK	 
USER	SmokeTest	80	END	1570467087084	1570467089000
USER	SmokeTest	83	START	1570467089000	1570467089000
REQUEST	81		SmokeTest	1570467088122	1570467090182	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	81	END	1570467088121	1570467090185
USER	SmokeTest	84	START	1570467090185	1570467090185
REQUEST	82		SmokeTest	1570467088390	1570467090396	OK	 
USER	SmokeTest	82	END	1570467088389	1570467090397
USER	SmokeTest	85	START	1570467090397	1570467090397
REQUEST	83		SmokeTest	1570467089002	1570467091087	OK	 
USER	SmokeTest	83	END	1570467089000	1570467091088
USER	SmokeTest	86	START	1570467091088	1570467091088
REQUEST	84		SmokeTest	1570467090188	1570467092396	OK	 
USER	SmokeTest	84	END	1570467090185	1570467092399
USER	SmokeTest	87	START	1570467092399	1570467092399
REQUEST	85		SmokeTest	1570467090399	1570467092492	OK	 
USER	SmokeTest	85	END	1570467090397	1570467092495
USER	SmokeTest	88	START	1570467092495	1570467092495
REQUEST	86		SmokeTest	1570467091090	1570467093503	OK	 
USER	SmokeTest	86	END	1570467091088	1570467093504
USER	SmokeTest	89	START	1570467093504	1570467093504
REQUEST	88		SmokeTest	1570467092498	1570467094894	OK	 
USER	SmokeTest	88	END	1570467092495	1570467094896
USER	SmokeTest	90	START	1570467094896	1570467094896
REQUEST	87		SmokeTest	1570467092401	1570467094973	OK	 
USER	SmokeTest	87	END	1570467092399	1570467094975
USER	SmokeTest	91	START	1570467094975	1570467094975
REQUEST	89		SmokeTest	1570467093505	1570467095653	OK	 
USER	SmokeTest	89	END	1570467093504	1570467095655
USER	SmokeTest	92	START	1570467095655	1570467095655
REQUEST	90		SmokeTest	1570467094899	1570467096883	OK	 
USER	SmokeTest	90	END	1570467094896	1570467096884
USER	SmokeTest	93	START	1570467096884	1570467096884
REQUEST	91		SmokeTest	1570467094976	1570467097082	OK	 
USER	SmokeTest	91	END	1570467094975	1570467097084
USER	SmokeTest	94	START	1570467097084	1570467097084
REQUEST	92		SmokeTest	1570467095656	1570467097713	OK	 
USER	SmokeTest	92	END	1570467095655	1570467097714
USER	SmokeTest	95	START	1570467097714	1570467097714
REQUEST	93		SmokeTest	1570467096885	1570467098581	OK	 
USER	SmokeTest	93	END	1570467096884	1570467098584
USER	SmokeTest	96	START	1570467098585	1570467098585
REQUEST	94		SmokeTest	1570467097085	1570467099489	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	94	END	1570467097084	1570467099491
USER	SmokeTest	97	START	1570467099491	1570467099491
REQUEST	95		SmokeTest	1570467097715	1570467099599	OK	 
USER	SmokeTest	95	END	1570467097714	1570467099601
USER	SmokeTest	98	START	1570467099601	1570467099601
REQUEST	96		SmokeTest	1570467098588	1570467100187	OK	 
USER	SmokeTest	96	END	1570467098585	1570467100188
USER	SmokeTest	99	START	1570467100188	1570467100188
REQUEST	97		SmokeTest	1570467099493	1570467101886	OK	 
REQUEST	98		SmokeTest	1570467099602	1570467101886	OK	 
USER	SmokeTest	97	END	1570467099491	1570467101887
USER	SmokeTest	100	START	1570467101888	1570467101888
USER	SmokeTest	98	END	1570467099601	1570467101888
USER	SmokeTest	101	START	1570467101889	1570467101889
REQUEST	99		SmokeTest	1570467100189	1570467102414	OK	 
USER	SmokeTest	99	END	1570467100188	1570467102416
USER	SmokeTest	102	START	1570467102417	1570467102417
REQUEST	101		SmokeTest	1570467101891	1570467103872	OK	 
USER	SmokeTest	101	END	1570467101889	1570467103874
USER	SmokeTest	103	START	1570467103874	1570467103874
REQUEST	100		SmokeTest	1570467101890	1570467103899	OK	 
USER	SmokeTest	100	END	1570467101888	1570467103900
USER	SmokeTest	104	START	1570467103900	1570467103900
REQUEST	102		SmokeTest	1570467102418	1570467104506	OK	 
USER	SmokeTest	102	END	1570467102417	1570467104507
USER	SmokeTest	105	START	1570467104508	1570467104508
REQUEST	104		SmokeTest	1570467103901	1570467105275	OK	 
USER	SmokeTest	104	END	1570467103900	1570467105276
USER	SmokeTest	106	START	1570467105277	1570467105277
REQUEST	103		SmokeTest	1570467103875	1570467106289	OK	 
USER	SmokeTest	103	END	1570467103874	1570467106291
USER	SmokeTest	107	START	1570467106292	1570467106292
REQUEST	105		SmokeTest	1570467104509	1570467106473	OK	 
USER	SmokeTest	105	END	1570467104508	1570467106475
USER	SmokeTest	108	START	1570467106475	1570467106475
REQUEST	106		SmokeTest	1570467105278	1570467107105	OK	 
USER	SmokeTest	106	END	1570467105277	1570467107106
USER	SmokeTest	109	START	1570467107106	1570467107106
REQUEST	107		SmokeTest	1570467106294	1570467108696	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
REQUEST	108		SmokeTest	1570467106477	1570467108698	OK	 
USER	SmokeTest	107	END	1570467106292	1570467108697
USER	SmokeTest	110	START	1570467108706	1570467108706
USER	SmokeTest	108	END	1570467106475	1570467108705
USER	SmokeTest	111	START	1570467108706	1570467108706
REQUEST	109		SmokeTest	1570467107107	1570467109083	OK	 
USER	SmokeTest	109	END	1570467107106	1570467109085
USER	SmokeTest	112	START	1570467109085	1570467109085
REQUEST	111		SmokeTest	1570467108707	1570467110992	OK	 
REQUEST	110		SmokeTest	1570467108707	1570467110993	OK	 
USER	SmokeTest	111	END	1570467108706	1570467110994
USER	SmokeTest	113	START	1570467110995	1570467110995
USER	SmokeTest	110	END	1570467108706	1570467110994
USER	SmokeTest	114	START	1570467110995	1570467110995
REQUEST	112		SmokeTest	1570467109087	1570467111594	OK	 
USER	SmokeTest	112	END	1570467109085	1570467111596
USER	SmokeTest	115	START	1570467111596	1570467111596
REQUEST	114		SmokeTest	1570467110997	1570467113086	OK	 
USER	SmokeTest	114	END	1570467110995	1570467113087
USER	SmokeTest	116	START	1570467113087	1570467113087
REQUEST	113		SmokeTest	1570467110996	1570467113088	OK	 
USER	SmokeTest	113	END	1570467110995	1570467113093
USER	SmokeTest	117	START	1570467113094	1570467113094
REQUEST	115		SmokeTest	1570467111597	1570467113776	OK	 
USER	SmokeTest	115	END	1570467111596	1570467113777
USER	SmokeTest	118	START	1570467113778	1570467113778
REQUEST	116		SmokeTest	1570467113088	1570467115191	OK	 
USER	SmokeTest	116	END	1570467113087	1570467115200
USER	SmokeTest	119	START	1570467115200	1570467115200
REQUEST	117		SmokeTest	1570467113095	1570467115201	OK	 
USER	SmokeTest	117	END	1570467113094	1570467115202
USER	SmokeTest	120	START	1570467115202	1570467115202
REQUEST	118		SmokeTest	1570467113779	1570467115870	OK	 
USER	SmokeTest	118	END	1570467113778	1570467115872
USER	SmokeTest	121	START	1570467115872	1570467115872
REQUEST	120		SmokeTest	1570467115203	1570467117186	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	120	END	1570467115202	1570467117189
USER	SmokeTest	122	START	1570467117189	1570467117189
REQUEST	119		SmokeTest	1570467115201	1570467117223	OK	 
USER	SmokeTest	119	END	1570467115200	1570467117224
USER	SmokeTest	123	START	1570467117224	1570467117224
REQUEST	121		SmokeTest	1570467115873	1570467117799	OK	 
USER	SmokeTest	121	END	1570467115872	1570467117800
USER	SmokeTest	124	START	1570467117800	1570467117800
REQUEST	122		SmokeTest	1570467117190	1570467118901	OK	 
USER	SmokeTest	122	END	1570467117189	1570467118903
USER	SmokeTest	125	START	1570467118903	1570467118903
REQUEST	123		SmokeTest	1570467117225	1570467119575	OK	 
USER	SmokeTest	123	END	1570467117224	1570467119577
USER	SmokeTest	126	START	1570467119577	1570467119577
REQUEST	124		SmokeTest	1570467117800	1570467120180	OK	 
USER	SmokeTest	124	END	1570467117800	1570467120182
USER	SmokeTest	127	START	1570467120182	1570467120182
REQUEST	125		SmokeTest	1570467118903	1570467120883	OK	 
USER	SmokeTest	125	END	1570467118903	1570467120884
USER	SmokeTest	128	START	1570467120885	1570467120885
REQUEST	126		SmokeTest	1570467119624	1570467121483	OK	 
USER	SmokeTest	126	END	1570467119577	1570467121484
USER	SmokeTest	129	START	1570467121484	1570467121484
REQUEST	127		SmokeTest	1570467120184	1570467122091	OK	 
USER	SmokeTest	127	END	1570467120182	1570467122093
USER	SmokeTest	130	START	1570467122093	1570467122093
REQUEST	128		SmokeTest	1570467120886	1570467122744	OK	 
USER	SmokeTest	128	END	1570467120885	1570467122745
USER	SmokeTest	131	START	1570467122746	1570467122746
REQUEST	129		SmokeTest	1570467121485	1570467123381	OK	 
USER	SmokeTest	129	END	1570467121484	1570467123382
USER	SmokeTest	132	START	1570467123382	1570467123382
REQUEST	130		SmokeTest	1570467122095	1570467123998	OK	 
USER	SmokeTest	130	END	1570467122093	1570467123999
USER	SmokeTest	133	START	1570467123999	1570467123999
REQUEST	131		SmokeTest	1570467122747	1570467124604	OK	 
USER	SmokeTest	131	END	1570467122746	1570467124605
USER	SmokeTest	134	START	1570467124605	1570467124605
REQUEST	132		SmokeTest	1570467123383	1570467125208	OK	 
USER	SmokeTest	132	END	1570467123382	1570467125208
USER	SmokeTest	135	START	1570467125209	1570467125209
REQUEST	133		SmokeTest	1570467124000	1570467126000	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	133	END	1570467123999	1570467126001
USER	SmokeTest	136	START	1570467126001	1570467126001
REQUEST	134		SmokeTest	1570467124605	1570467127174	OK	 
USER	SmokeTest	134	END	1570467124605	1570467127176
USER	SmokeTest	137	START	1570467127176	1570467127176
REQUEST	135		SmokeTest	1570467125209	1570467127183	OK	 
USER	SmokeTest	135	END	1570467125209	1570467127185
USER	SmokeTest	138	START	1570467127185	1570467127185
REQUEST	136		SmokeTest	1570467126002	1570467128047	OK	 
USER	SmokeTest	136	END	1570467126001	1570467128048
USER	SmokeTest	139	START	1570467128048	1570467128048
REQUEST	138		SmokeTest	1570467127186	1570467129277	OK	 
USER	SmokeTest	138	END	1570467127185	1570467129278
USER	SmokeTest	140	START	1570467129278	1570467129278
REQUEST	137		SmokeTest	1570467127177	1570467129301	OK	 
USER	SmokeTest	137	END	1570467127176	1570467129303
USER	SmokeTest	141	START	1570467129303	1570467129303
REQUEST	139		SmokeTest	1570467128049	1570467129875	OK	 
