RUN	SmokeTest.payCredit	paycredit	1570478456284	 	3.0.2
USER	SmokeTest	109	END	1570478515145	1570478516224
USER	SmokeTest	111	START	1570478516224	1570478516224
REQUEST	107		SmokeTest	1570478514903	1570478516468	OK	 
USER	SmokeTest	107	END	1570478514902	1570478516469
USER	SmokeTest	112	START	1570478516469	1570478516469
REQUEST	110		SmokeTest	1570478516092	1570478517095	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	110	END	1570478516091	1570478517097
USER	SmokeTest	113	START	1570478517097	1570478517097
REQUEST	111		SmokeTest	1570478516225	1570478517246	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	111	END	1570478516224	1570478517247
USER	SmokeTest	114	START	1570478517247	1570478517247
REQUEST	112		SmokeTest	1570478516470	1570478517436	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	112	END	1570478516469	1570478517437
USER	SmokeTest	115	START	1570478517437	1570478517437
REQUEST	114		SmokeTest	1570478517248	1570478518499	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	114	END	1570478517247	1570478518500
USER	SmokeTest	116	START	1570478518500	1570478518500
REQUEST	115		SmokeTest	1570478517438	1570478518565	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	115	END	1570478517437	1570478518566
USER	SmokeTest	117	START	1570478518567	1570478518567
REQUEST	113		SmokeTest	1570478517098	1570478518666	OK	 
USER	SmokeTest	113	END	1570478517097	1570478518668
USER	SmokeTest	118	START	1570478518668	1570478518668
REQUEST	116		SmokeTest	1570478518501	1570478519710	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	116	END	1570478518500	1570478519712
USER	SmokeTest	119	START	1570478519712	1570478519712
REQUEST	117		SmokeTest	1570478518568	1570478519820	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	117	END	1570478518567	1570478519821
USER	SmokeTest	120	START	1570478519822	1570478519822
REQUEST	118		SmokeTest	1570478518669	1570478519866	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	118	END	1570478518668	1570478519867
USER	SmokeTest	121	START	1570478519867	1570478519867
REQUEST	119		SmokeTest	1570478519713	1570478521145	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	119	END	1570478519712	1570478521147
USER	SmokeTest	122	START	1570478521148	1570478521148
REQUEST	121		SmokeTest	1570478519868	1570478521269	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	121	END	1570478519867	1570478521271
USER	SmokeTest	123	START	1570478521271	1570478521271
REQUEST	120		SmokeTest	1570478519823	1570478521306	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	120	END	1570478519822	1570478521308
USER	SmokeTest	124	START	1570478521308	1570478521308
REQUEST	124		SmokeTest	1570478521309	1570478522736	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	124	END	1570478521308	1570478522738
USER	SmokeTest	125	START	1570478522738	1570478522738
REQUEST	123		SmokeTest	1570478521272	1570478522767	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	123	END	1570478521271	1570478522768
USER	SmokeTest	126	START	1570478522768	1570478522768
REQUEST	122		SmokeTest	1570478521149	1570478523021	OK	 
USER	SmokeTest	122	END	1570478521148	1570478523022
USER	SmokeTest	127	START	1570478523022	1570478523022
REQUEST	125		SmokeTest	1570478522739	1570478523786	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
